구,동,단지명,공시제곱미터당가_중위,호수,면적타입수
강북구,미아동,나루아이빌2차,2502754,8,7
강북구,미아동,나정맨션,2655712,8,2
강북구,미아동,낙산빌라,2784344,6,1
강북구,미아동,남광하이빌(198-46),3340128,8,1
강북구,미아동,남광하이빌(198-6),3261709,8,3
강북구,미아동,남광하이빌(791-2058),2670552,8,5
강북구,미아동,남광하이빌A동,4430379,12,3
강북구,미아동,남광하이빌A동(791-4813),3595151,8,2
강북구,미아동,남광하이빌B동,4430379,12,3
강북구,미아동,남광하이빌B동(791-2978),3536278,8,4
강북구,미아동,남미빌라,2362948,9,6
강북구,미아동,남북빌라,2020202,9,2
강북구,미아동,남양빌라,2347783,8,3
강북구,미아동,남영아트빌,4181791,8,4
강북구,미아동,네스트빌,4543107,4,2
강북구,미아동,넥서스,1902920,5,2
강북구,미아동,노블리안시티,4723766,10,4
강북구,미아동,녹원빌라,4289071,11,5
강북구,미아동,누리팰리스,7600864,16,4
강북구,미아동,뉴그랜드하우스,4072772,10,4
강북구,미아동,뉴그랜드하우스(305-14),4490106,9,3
강북구,미아동,뉴스타빌라,2935382,5,5
강북구,미아동,뉴월드빌,2643097,7,4
강북구,미아동,뉴캐슬,3941710,8,5
강북구,미아동,뉴캐슬2,4162679,6,4
강북구,미아동,늘푸른원룸,3853255,13,4
강북구,미아동,다드림13차,5057303,44,9
강북구,미아동,다미빌리지,3183876,8,1
강북구,미아동,다보베스트빌,2697495,10,1
강북구,미아동,다솜빌라(450-38),4041032,9,2
강북구,미아동,다솜빌라(791-1047),2492132,8,5
강북구,미아동,다솜빌라(791-1478),2404947,7,4
강북구,미아동,다우빌라,4653509,6,6
강북구,미아동,다우빌라A동,2166507,8,3
강북구,미아동,다우빌라B동,2185691,8,3
강북구,미아동,다우파크빌,2696275,5,3
강북구,미아동,다우파크빌(356-2),2979066,3,2
강북구,미아동,다우화이트빌,2276037,4,2
강북구,미아동,다우힐스빌,3028028,7,2
강북구,미아동,다우힐스빌(3-200),2440558,12,3
강북구,미아동,다운빌라,1844818,9,6
강북구,미아동,다원하우스,3450207,8,2
강북구,미아동,다원힐스빌,4572763,8,1
강북구,미아동,다집아트,1935127,5,2
강북구,미아동,대광맨션(321-16),3487947,11,5
강북구,미아동,대광맨션(373-37),4078971,9,3
강북구,미아동,대광맨션(767-61),3997693,20,5
강북구,미아동,대광맨션A동,3767316,8,3
강북구,미아동,대광맨션B동,4000224,8,2
강북구,미아동,대광빌리지,3036369,8,4
강북구,미아동,대광주택가,3164983,2,1
강북구,미아동,대광주택나,2995169,6,1
강북구,미아동,대광주택다,2971014,6,1
강북구,미아동,대도골드빌,5218643,12,6
강북구,미아동,대도맨션,3564196,19,10
강북구,미아동,대도맨션A동,4156403,9,5
강북구,미아동,대도맨션B동,5420090,5,4
강북구,미아동,대도벤츠하우스(A동),3403141,9,2
강북구,미아동,대도벤츠하우스(B동),3413424,9,3
강북구,미아동,대도아트빌,3426669,8,1
강북구,미아동,대동아트빌,2654867,8,2
강북구,미아동,대동힐타운,2670149,3,2
강북구,미아동,대림가,2981466,6,1
강북구,미아동,대림나,3008326,6,1
강북구,미아동,대림맨션,2649875,8,5
강북구,미아동,대명아트빌(3차),2858126,4,3
강북구,미아동,대선빌딩,3031329,3,3
강북구,미아동,대성그린빌라,4330572,168,5
강북구,미아동,대성빌라,2620353,8,1
강북구,미아동,대성빌라(75-4),2465437,9,5
강북구,미아동,대성빌라(831-8),2353120,8,8
강북구,미아동,대성쉐르빌,2941176,8,2
강북구,미아동,대성아트빌,2685908,4,2
강북구,미아동,대성하이츠,3231214,16,1
강북구,미아동,대성하이츠빌라,2054794,9,4
강북구,미아동,대성휴먼빌,2518454,8,4
강북구,미아동,대양가든,2104975,8,1
강북구,미아동,대영맨션,1890258,10,2
강북구,미아동,대영주택,2863688,6,1
강북구,미아동,대우맨션,3167689,17,6
강북구,미아동,대우아트빌라,2659514,12,7
강북구,미아동,대웅빌라,1972802,9,2
강북구,미아동,대원빌라,2140041,8,5
강북구,미아동,대원빌라(258-662),2966832,6,1
강북구,미아동,대원아트빌(313-78),4036770,5,2
강북구,미아동,대원아트빌(315-12),4063301,6,3
강북구,미아동,대원아트빌(329-21),2915004,8,4
강북구,미아동,대원아트빌(791-1474),2284214,4,2
강북구,미아동,대원아트빌2차,2486910,11,5
강북구,미아동,대원아트빌5차,2741514,8,3
강북구,미아동,대창그린빌,3394213,7,5
강북구,미아동,대현빌라(258-342),4437674,8,6
강북구,미아동,더숨,5638972,9,5
강북구,미아동,덕산맨션(315-61),3298611,6,4
강북구,미아동,도시공간,6346106,14,6
강북구,미아동,도영아트빌라,2795933,8,2
강북구,미아동,동광그린빌라6차,3030303,14,5
강북구,미아동,동광빌라(8-259),4012345,13,6
강북구,미아동,동광빌라(8-53),2767690,10,4
강북구,미아동,동명빌라,2804969,6,1
강북구,미아동,동명빌라(8-192),3141801,9,2
강북구,미아동,동명아트빌,1973625,12,5
강북구,미아동,동방플러스,4003585,9,8
강북구,미아동,동방플러스(223-6),4243717,14,3
강북구,미아동,동방플러스(307-51),5392592,10,3
강북구,미아동,동방플러스빌(10차),3307785,11,3
강북구,미아동,동북아트빌,2879156,8,1
강북구,미아동,동산골드빌,6013240,7,6
강북구,미아동,동성빌라,3254901,15,4
강북구,미아동,동성빌라(Green),2441390,10,6
강북구,미아동,동성주택(258-141),2931354,3,1
강북구,미아동,동성주택(258-163),2838098,8,4
강북구,미아동,동성주택(258-168),2839295,6,1
강북구,미아동,동성주택(258-478),3402039,4,2
강북구,미아동,동성주택(가),2860439,6,5
강북구,미아동,동성주택1,2906071,6,1
강북구,미아동,동성주택10동,2852308,6,1
강북구,미아동,동성주택11,2852308,6,1
강북구,미아동,동성주택12,2852308,6,1
강북구,미아동,동성주택2,2892263,6,1
강북구,미아동,동성주택21,2938841,6,3
강북구,미아동,동성주택22,2977905,6,1
강북구,미아동,동성주택23,2977905,6,1
강북구,미아동,동성주택24,2953890,6,1
강북구,미아동,동성주택25,3025936,6,1
강북구,미아동,동성주택26,2964824,6,1
강북구,미아동,동성주택27,2891156,6,1
강북구,미아동,동성주택28,2920081,6,1
강북구,미아동,동성주택29,2933925,6,1
강북구,미아동,동성주택3,2873392,6,4
강북구,미아동,동성주택30,3032544,6,1
강북구,미아동,동성주택31,2933925,6,1
강북구,미아동,동성주택32,2933925,6,1
강북구,미아동,동성주택33,3038470,5,1
강북구,미아동,동성주택35,2947571,6,1
강북구,미아동,동성주택36,2947571,6,1
강북구,미아동,동성주택37,2947571,6,1
강북구,미아동,동성주택38,2971732,6,1
강북구,미아동,동성주택39,3003003,5,1
강북구,미아동,동성주택5,2962085,6,2
강북구,미아동,동성주택50,3012480,2,1
강북구,미아동,동성주택51,2715008,3,1
강북구,미아동,동성주택52,2895647,6,1
강북구,미아동,동성주택53,2877435,6,1
강북구,미아동,동성주택6,2873392,6,4
강북구,미아동,동성주택7,2962085,6,2
강북구,미아동,동성주택8,2873392,6,4
강북구,미아동,동성주택9,2890995,6,2
강북구,미아동,동성주택A,3047316,6,3
강북구,미아동,동성주택가동,2984332,5,1
강북구,미아동,동성주택나,2934044,6,1
강북구,미아동,동성주택나동,2956730,6,1
강북구,미아동,동성파크빌,3093306,9,3
강북구,미아동,동성파크빌(137-102),4307391,10,3
강북구,미아동,동성파크빌A,3175793,4,2
강북구,미아동,동성파크빌B,3178892,4,2
